title,mean_rating,number_of_ratings
Santa Claus: The Movie (1985),2.7,5
"Santa Clause 2, The (2002)",2.875,4
"Santa Clause 3: The Escape Clause, The (2006)",2.0,1
"Santa Clause, The (1994)",3.0071428571,70
Santa Fe Trail (1940),3.1666666667,3
Santa Sangre (1989),4.0,1
Santa with Muscles (1996),4.0,1
"Sapphires, The (2012)",3.75,2
Sarah Silverman: Jesus Is Magic (2005),2.875,4
Sarah's Key (Elle s'appelait Sarah) (2010),3.5,1
Sarusuberi: Miss Hokusai (2015),4.0,1
"Satanic Rites of Dracula, The (1974)",1.5,1
Satin Rouge (2002),2.5,1
Satisfaction (a.k.a. Girls of Summer) (1988),2.0,2
Saturday Night Fever (1977),3.2307692308,13
Saturday Night and Sunday Morning (1960),3.5,1
Saturn 3 (1980),2.375,4
Sauna (2008),3.5,2
"Savage Nights (Nuits fauves, Les) (1992)",3.0,1
Savages (2012),3.2,5
"Savages, The (2007)",3.25,6
Save the Last Dance (2001),3.4444444444,9
Save the Tiger (1973),2.75,2
Saved! (2004),3.5625,8
Saving Grace (2000),2.6666666667000003,6
Saving Mr. Banks (2013),3.25,2
Saving Private Ryan (1998),4.0374331551000004,187
Saving Silverman (Evil Woman) (2001),2.4285714286,7
Savior (1998),3.0,1
Saw (2004),3.3421052632,19
Saw II (2005),3.1818181818,11
Saw III (2006),2.05,10
Saw IV (2007),2.625,8
Saw V (2008),3.6,5
Saw VI (2009),3.25,4
Saw VII 3D - The Final Chapter (2010),3.8,5
Say Anything... (1989),3.7325581395,43
Say It Isn't So (2001),1.5,1
Sayonara (1957),4.0,2
Scandal (1989),3.0,2
"Scanner Darkly, A (2006)",3.9090909091,22
Scanners (1981),2.8125,8
"Scapegoat, The (2012)",4.0,1
Scaramouche (1952),3.0,1
Scarecrow (1973),4.0,1
Scarface (1932),3.0,4
Scarface (1983),3.8163265306,49
"Scarlet Letter, The (1926)",3.25,2
"Scarlet Letter, The (1995)",2.625,8
"Scarlet Pimpernel, The (1934)",3.0,1
Scarlet Street (1945),3.5,1
Scary Movie (2000),2.8902439024,41
Scary Movie 2 (2001),2.5526315789,19
Scary Movie 3 (2003),2.1818181818,11
Scary Movie 4 (2006),2.8333333333,6
Scary Movie 5 (Scary MoVie) (2013),2.25,2
"Scene at the Sea, A (Ano natsu, ichiban shizukana umi) (1991)",3.5,1
Scenes From a Marriage (Scener ur ett äktenskap) (1973),1.5,1
Scenes from a Mall (1991),2.3333333333,3
Scenes from the Class Struggle in Beverly Hills (1989),2.25,2
Scenes of a Sexual Nature (2006),2.5,1
"Scent of Green Papaya, The (Mùi du du xhan - L'odeur de la papaye verte) (1993)",4.75,2
Scent of a Woman (1992),3.6060606061,33
Schindler's List (1993),4.2963709677,248
Schizopolis (1996),5.0,2
School Daze (1988),2.5,2
School For Scoundrels (1960),5.0,1
School Ties (1992),3.0,2
School for Scoundrels (2006),2.25,2
"School of Flesh, The (École de la chair, L') (1998)",2.5,2
School of Rock (2003),3.6219512195,41
"Science of Sleep, The (La science des rêves) (2006)",2.75,6
Scooby-Doo (2002),2.1666666667,9
Scooby-Doo 2: Monsters Unleashed (2004),2.5,4
Scooby-Doo! And Kiss: Rock and Roll Mystery (2015),4.5,1
Scooby-Doo! The Mystery Begins (2009),0.5,1
Scoop (2006),2.875,8
Scorched (2003),3.0,1
"Score, The (2001)",3.4117647059,17
"Scorpion King, The (2002)",2.5714285714000003,14
"Scotland, Pa. (2001)",4.0,3
Scott Pilgrim vs. the World (2010),4.0,24
"Scout, The (1994)",2.8333333333,6
Scream (1996),3.4705882353,85
Scream 2 (1997),2.7741935484,31
Scream 3 (2000),2.5,31
Scream 4 (2011),3.75,4
"Scream, Blacula, Scream! (1973)",2.5,1
Screamers (1995),3.175,20
Screwed (2000),1.0,1
Scrooged (1988),3.5384615385,26
"Sea Hawk, The (1940)",3.75,2
"Sea Inside, The (Mar adentro) (2004)",4.1666666667,3
"Sea Wolf, The (1941)",4.5,1
"Sea Wolves, The (1980)",4.0,1
Sea of Love (1989),4.25,4
Seabiscuit (2003),3.7608695652,23
Seal Team Eight: Behind Enemy Lines (2014),2.0,1
Sealed Cargo (1951),3.5,1
Seance on a Wet Afternoon (1964),4.0,1
"Searchers, The (1956)",4.2272727273,11
Searching for Bobby Fischer (1993),3.9363636364000003,55
Searching for Sugar Man (2012),3.7,5
Season of the Witch (2011),3.5,1
Second Wind (Le deuxième souffle) (Second Breath) (1966),4.0,1
Secondhand Lions (2003),4.0454545455,11
Seconds (1966),4.0,3
"Secret Adventures of Tom Thumb, The (1993)",3.0,1
Secret Agent (1936),3.5,2
"Secret Agent, The (1996)",3.5,3
"Secret Garden, The (1993)",3.71875,32
"Secret Life of Bees, The (2008)",3.6666666667000003,3
"Secret Life of Walter Mitty, The (1947)",4.0,3
"Secret Life of Walter Mitty, The (2013)",3.625,8
"Secret Lives of Dentists, The (2002)",2.0,1
"Secret Policeman's Other Ball, The (1982)",4.0,1
"Secret Six, The (1931)",3.0,1
Secret Sunshine (Milyang) (2007),2.5,1
Secret Window (2004),3.3125,16
"Secret World of Arrietty, The (Kari-gurashi no Arietti) (2010)",3.75,2
"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",4.2,5
"Secret of Kells, The (2009)",2.5,1
"Secret of My Succe$s, The (a.k.a. The Secret of My Success) (1987)",3.125,4
"Secret of NIMH, The (1982)",3.86,25
"Secret of Roan Inish, The (1994)",3.8333333333,18
"Secret of Santa Vittoria, The (1969)",3.5,1
"Secret of the Grain, The (La graine et le mulet) (2007)",3.0,1
Secretariat (2010),2.75,2
Secretary (2002),3.3823529412,17
Secrets & Lies (1996),4.0892857143,28
Seduced and Abandoned (2013),3.5,1
See No Evil (1971),2.5,1
See No Evil (2006),1.5,1
"See No Evil, Hear No Evil (1989)",3.75,2
See Spot Run (2001),1.5,1
See the Sea (1997),2.0,1
Seed of Chucky (Child's Play 5) (2004),2.0,3
Seeing Other People (2004),3.5,1
Seeking Justice (2011),3.0,3
Seeking a Friend for the End of the World (2012),3.0,3
Seems Like Old Times (1980),4.0,3
Selena (1997),2.6666666667000003,6
"Selfish Giant, The (2013)",2.5,1
Selma (2014),3.25,2
Semi-Pro (2008),2.6,5
Semi-Tough (1978),3.5,2
Send Me No Flowers (1964),3.0,2
Senna (2010),4.0625,8
Sense and Sensibility (1995),3.93,100
"Sentinel, The (1977)",2.5,1
"Sentinel, The (2006)",2.625,4
Separate Lies (2005),3.5,2
Separate Tables (1958),4.0,2
"Separation, A (Jodaeiye Nader az Simin) (2011)",3.5,1
September (1987),3.5,1
"September Issue, The (2009)",3.0,2
Seraphim Falls (2006),3.1,5
"Serbian Film, A (Srpski film) (2010)",0.75,2
Serena (2014),3.5,1
Serendipity (2001),3.6071428571,14
Serenity (2005),3.9875,40
Sergeant Rutledge (1960),2.5,1
Sergeant York (1941),3.6666666667000003,3
Serial Mom (1994),3.4782608696,23
Series 7: The Contenders (2001),3.6,5
"Serious Man, A (2009)",3.2,5
Serious Moonlight (2009),3.0,1
"Serpent and the Rainbow, The (1988)",3.375,4
Serpico (1973),3.8076923077,26
"Servant, The (1963)",4.0,1
Sesame Street Presents Follow That Bird (1985),1.0,1
Session 9 (2001),3.3888888889,9
"Sessions, The (Surrogate, The) (2012)",4.0,1
Set It Off (1996),3.4444444444,9
"Set-Up, The (1949)",4.0,3
Setup (Set Up) (2011),4.0,1
Seven (a.k.a. Se7en) (1995),4.1301020408,196
Seven Beauties (Pasqualino Settebellezze) (1976),2.0,2
Seven Brides for Seven Brothers (1954),3.5625,8
Seven Chances (1925),2.75,2
Seven Days in May (1964),3.75,8
Seven Pounds (2008),4.09375,16
Seven Psychopaths (2012),3.7,5
Seven Samurai (Shichinin no samurai) (1954),4.2177419355,62
Seven Up! (1964),4.5,1
"Seven Year Itch, The (1955)",3.3333333333,6
Seven Years in Tibet (1997),3.8181818182000002,22
"Seven-Per-Cent Solution, The (1976)",3.0,2
"Seventh Cross, The (1944)",4.0,1
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",4.0185185185,27
"Seventh Sign, The (1988)",2.9,10
"Seventh Veil, The (1945)",3.0,1
"Seventh Victim, The (1943)",3.0,1
Severance (2006),1.8333333333000001,3
Sex Drive (2008),3.3333333333,3
Sex Is Comedy (2002),2.0,1
Sex and Death 101 (2007),3.0,1
Sex and Fury (Furyô anego den: Inoshika Ochô) (1973),3.0,1
Sex and Lucia (Lucía y el sexo) (2001),3.1666666667,3
Sex and the City (2008),2.4166666667,6
Sex and the City 2 (2010),4.0,1
"Sex, Lies, and Videotape (1989)",3.7121212121,33
Sexmission (Seksmisja) (1984),3.5,1
Sexy Beast (2000),3.5,13
Sgt. Bilko (1996),2.9090909091,22
Sgt. Pepper's Lonely Hearts Club Band (1978),2.8333333333,3
Shackleton's Antarctic Adventure (2001),5.0,1
Shade (2003),3.0,1
Shadow Dancer (2012),3.25,2
Shadow Magic (2000),4.0,1
Shadow of a Doubt (1943),4.1,10
Shadow of the Thin Man (1941),3.6666666667000003,3
Shadow of the Vampire (2000),3.625,20
"Shadow, The (1994)",3.1904761905,21
Shadowboxer (2005),2.0,1
Shadowlands (1993),3.6428571429,21
Shadows and Fog (1991),3.0,1
Shadrach (1998),3.0,1
Shaft (1971),2.7083333333,12
Shaft (2000),2.9166666667000003,18
Shaft in Africa (1973),3.5,1
"Shaggy D.A., The (1976)",4.0,1
"Shaggy Dog, The (1959)",3.0714285714,7
Shake Hands with the Devil (1959),4.0,1
Shakespeare in Love (1998),3.9056603774000003,106
Shall We Dance (1937),4.3571428571,7
Shall We Dance? (2004),3.8333333333,3
Shall We Dance? (Shall We Dansu?) (1996),4.075,20
Shallow Grave (1994),3.5441176471,34
Shallow Hal (2001),2.8541666667000003,24
Shame (2011),2.75,2
Shampoo (1975),3.2857142857,7
Shane (1953),3.8888888889,18
Shanghai Express (1932),4.0,1
"Shanghai Gesture, The (1941)",4.5,1
Shanghai Knights (2003),3.1470588235,17
Shanghai Noon (2000),3.3421052632,38
Shanghai Surprise (1986),2.0,3
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5,10
Shaolin Soccer (Siu lam juk kau) (2001),3.8181818182000002,11
Shark Skin Man and Peach Hip Girl (Samehada otoko to momojiri onna) (1998),3.5,2
Shark Tale (2004),2.8636363636,11
Sharknado (2013),0.75,2
Sharky's Machine (1981),3.0,1
Shattered (1991),3.3333333333,3
Shattered Glass (2003),3.25,2
Shattered Image (1998),1.0,1
Shaun of the Dead (2004),4.05,60
Shaun the Sheep Movie (2015),2.875,4
"Shawshank Redemption, The (1994)",4.4545454545,308
She Done Him Wrong (1933),3.1666666667,3
She Wore a Yellow Ribbon (1949),3.0,1
She's All That (1999),3.1617647059,34
She's Gotta Have It (1986),3.4,5
She's Having a Baby (1988),3.4,5
She's Out of Control (1989),1.0,1
She's Out of My League (2010),3.0,5
She's So Lovely (1997),3.6,5
She's the Man (2006),3.1666666667,6
She's the One (1996),3.1818181818,11
She-Devil (1989),1.375,4
She-Wolf of London (1946),1.5,1
Sheena (1984),1.5,1
"Sheltering Sky, The (1990)",4.3333333333,3
Shenandoah (1965),3.5,1
Sherlock Holmes (2009),3.8902439024,41
Sherlock Holmes (2010),1.5,1
Sherlock Holmes Faces Death (1943),5.0,1
Sherlock Holmes and the Secret Weapon (1942),4.0,1
Sherlock Holmes and the Voice of Terror (1942),5.0,1
Sherlock Holmes in Washington (1943),3.5,1
Sherlock Holmes: A Game of Shadows (2011),4.225,20
Sherlock Holmes: Terror by Night (1946),3.0,1
Sherlock Holmes: The Woman in Green (1945),3.0,1
Sherlock Jr. (1924),3.75,2
Shiloh (1997),4.5,2
Shine (1996),3.7714285714,35
Shine a Light (2008),3.8333333333,3
Shining Through (1992),2.5,1
"Shining, The (1980)",4.0044642857,112
Shinjuku Incident (San suk si gin) (2009),3.0,1
Ship of Fools (1965),3.25,2
"Shipping News, The (2001)",3.0625,8
Shiri (Swiri) (1999),2.6666666667000003,3
Shirley Valentine (1989),3.0,1
Shiver (Eskalofrío) (2008),4.5,1
Shivers (They Came from Within) (1975),4.5,1
Shoah (1985),4.1666666667,3
Shock Corridor (1963),1.5,1
Shock Treatment (1981),3.0,1
"Shock to the System, A (1990)",3.5,2
Shocker (1989),1.0,1
Shogun Assassin (1980),1.0,1
Shoot 'Em Up (2007),3.5384615385,13
Shoot the Moon (1982),3.25,2
Shoot the Piano Player (Tirez sur le pianiste) (1960),3.75,2
Shoot to Kill (1988),3.5,2
Shooter (2007),3.9736842105,19
Shooting Fish (1997),3.5,6
"Shootist, The (1976)",4.0,3
"Shop Around the Corner, The (1940)",3.9,5
Shopgirl (2005),2.625,4
Short Circuit (1986),3.0714285714,14
Short Circuit 2 (1988),2.3888888889,9
Short Cuts (1993),3.6590909091,22
"Short Film About Killing, A (Krótki film o zabijaniu) (1988)",4.5,2
Short Term 12 (2013),4.5,1
Shortbus (2006),3.25,2
"Shot in the Dark, A (1964)",3.6666666667000003,6
Shotgun Stories (2007),3.0,1
"Shout, The (1978)",2.5,1
Show Boat (1936),4.0,1
Show Boat (1951),4.25,2
Show Me Love (Fucking Åmål) (1998),4.1666666667,3
Showdown in Little Tokyo (1991),3.0,2
Shower (Xizao) (1999),4.1666666667,3
Showgirls (1995),2.0322580645,31
Showtime (2002),2.2857142857,7
Shrek (2001),3.7563291139,158
Shrek 2 (2004),3.3571428571,70
Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),3.1666666667,3
Shrek the Third (2007),2.8333333333,15
Shrink (2009),4.0,2
Shutter (2004),2.875,4
Shutter Island (2010),3.8829787234,47
Shy People (1987),5.0,1
Sibling Rivalry (1990),3.0,1
Sicario (2015),4.1666666667,6
"Sicilian Clan, The (Clan des Siciliens, Le) (1969)",2.5,1
"Sicilian, The (1987)",2.0,1
Sicko (2007),3.4375,8
Sid and Nancy (1986),3.4,10
Side Effects (2013),3.625,4
Side by Side (2012),3.6666666667000003,3
Sideways (2004),3.875,36
"Siege, The (1998)",3.0192307692,26
Sightseers (2012),3.0,1
"Signal, The (2007)",1.0,1
"Signal, The (2014)",3.0,1
Signs & Wonders (2001),3.5,1
Signs (2002),3.15,50
"Silence of the Lambs, The (1991)",4.1948275862,290
"Silence, The (Das letzte Schweigen) (2010)",2.5,1
"Silence, The (Tystnaden) (1963)",3.0,2
Silent Fall (1994),2.5,1
Silent Hill (2006),2.9230769231,13
Silent Hill: Revelation 3D (2012),2.0,1
"Silent House, The (La casa muda) (2010)",1.0,1
Silent Movie (1976),2.5,2
"Silent Partner, The (1978)",4.0,1
Silent Rage (1982),0.5,1
Silent Running (1972),2.6666666667000003,3
Silk (2007),2.0,1
Silk Stockings (1957),4.1666666667,3
Silkwood (1983),3.1666666667,6
Silver Bullet (Stephen King's Silver Bullet) (1985),3.1666666667,3
Silver City (2004),1.5,1
Silver Linings Playbook (2012),4.1904761905,21
Silver Streak (1976),3.6666666667000003,3
Silverado (1985),3.9,5
Simon (1980),2.0,1
Simon Birch (1998),3.6875,8
Simon Magus (1999),1.0,1
Simon Sez (1999),2.0,1
Simon of the Desert (Simón del desierto) (1965),1.5,1
Simone (S1m0ne) (2002),2.3571428571,7
Simpatico (1999),3.0,1
"Simple Life, A (Tao jie) (2011)",4.5,1
Simple Men (1992),4.0,1
"Simple Plan, A (1998)",3.5921052632,38
"Simple Twist of Fate, A (1994)",3.0,3
"Simple Wish, A (1997)",4.0,1
Simply Irresistible (1999),2.125,4
"Simpsons Movie, The (2007)",3.5972222222,36
Sin City (2005),3.91875,80
Sin City: A Dame to Kill For (2014),2.3333333333,6
Sin Nombre (2009),3.6666666667000003,3
Sinatra: All or Nothing at All (2015),3.5,1
Sinbad and the Eye of the Tiger (1977),3.625,4
Sinbad: Legend of the Seven Seas (2003),4.5,1
Since You Went Away (1944),2.5,1
Sing Your Song (2011),3.5,1
Singin' in the Rain (1952),4.112244898,49
"Single Girl, A (Fille seule, La) (1995)",2.5,1
"Single Man, A (2009)",3.25,2
"Single Shot, A (2013)",2.5,1
Single White Female (1992),3.3928571429,14
Singles (1992),3.5909090909,11
Sinister (2012),3.6666666667000003,3
Sink the Bismark! (1960),3.25,2
Sirens (1994),3.3823529412,17
Sirocco (1951),3.0,1
Sister Act (1992),2.9,40
Sister Act 2: Back in the Habit (1993),2.9444444444,9
"Sisterhood of the Traveling Pants 2, The (2008)",3.5,1
"Sisterhood of the Traveling Pants, The (2005)",3.375,4
Sisters (1973),3.75,2
"Sisters, The (1938)",3.0,1
Sitting Pretty (1948),3.0,1
Six Days Seven Nights (1998),3.1578947368,19
Six Degrees of Separation (1993),3.8,25
Six Shooter (2004),3.75,2
Six by Sondheim (2013),4.0,1
Six-String Samurai (1998),3.3333333333,3
Sixteen Candles (1984),3.6625,40
"Sixth Sense, The (1999)",4.1308900524,191
"Skeleton Key, The (2005)",3.25,4
Skin (2008),3.0,1
Skin Deep (1989),3.5,2
"Skin I Live In, The (La piel que habito) (2011)",3.875,4
Skipped Parts (2000),3.5,3
"Skulls, The (2000)",2.7272727273,11
Sky Captain and the World of Tomorrow (2004),3.3095238095,21
Sky High (2005),3.375,4
Skyfall (2012),3.9166666667000003,24
Skyline (2010),2.25,2
Slam (1998),3.5,2
Slap Shot (1977),3.5769230769,13
Slaughterhouse (1987),1.0,1
Slaughterhouse-Five (1972),3.8,5
Slaves of New York (1989),2.0,1
Sleep Dealer (2008),3.5,1
Sleepaway Camp (1983),3.1666666667,3
Sleeper (1973),3.8421052632,38
Sleepers (1996),3.7380952381,42
Sleeping Beauty (1959),3.5921052632,38
Sleeping Beauty (2011),2.1666666667,3
"Sleeping Dictionary, The (2003)",3.0,1
Sleeping with the Enemy (1991),2.7142857143,7
Sleepless Night (Nuit blanche) (2011),4.0,2
Sleepless in Seattle (1993),3.5236220472,127
Sleepover (2004),2.5,1
Sleepwalk with Me (2012),5.0,1
Sleepwalkers (1992),2.5,4
Sleepy Hollow (1999),3.7068965517,58
Sleuth (1972),3.5625,8
Sleuth (2007),1.25,2
Sliding Doors (1998),3.375,32
"Slight Case of Murder, A (1938)",3.0,1
Sling Blade (1996),3.9609375,64
"Slingshot, The (Kådisbellan) (1993)",4.0,1
"Slipper and the Rose, The (1976)",4.5,2
Slither (1973),4.0,1
Slither (2006),3.2,5
Sliver (1993),2.5714285714000003,21
"Slumber Party Massacre, The (1982)",1.0,1
Slumdog Millionaire (2008),3.9357142857,70
"Slums of Beverly Hills, The (1998)",2.8333333333,6
"Small Change (Argent de poche, L') (1976)",4.0,1
Small Faces (1996),3.0,2
Small Soldiers (1998),2.4666666667,15
Small Time Crooks (2000),3.3888888889,9
Smart People (2008),2.9,5
"Smile Like Yours, A (1997)",1.0,1
Smiles of a Summer Night (Sommarnattens leende) (1955),3.5,1
Smiley's People (1982),4.5,1
Smilla's Sense of Snow (1997),3.2083333333,12
Smoke (1995),3.9814814815,27
Smoke Signals (1998),3.85,10
Smokey and the Bandit (1977),3.5416666667,12
Smokey and the Bandit II (1980),2.1666666667,3
Smokey and the Bandit III (1983),3.0,1
Smokin' Aces (2006),2.5,11
Smooth Talk (1985),2.5,1
"Smurfs, The (2011)",2.0,1
Snake Eyes (1998),2.8703703704,27
Snakes on a Plane (2006),2.4444444444,9
"Snapper, The (1993)",3.6666666667000003,3
Snatch (2000),4.0738636364,88
Sneakers (1992),3.7033898305,59
Sniper (1993),3.25,2
Snitch (2013),3.0,1
Snow Angels (2007),2.5,1
Snow Cake (2006),4.0,1
Snow Day (2000),2.5,1
Snow Dogs (2002),3.0,1
Snow Falling on Cedars (1999),3.4642857143,14
Snow White and the Huntsman (2012),3.1666666667,3
Snow White and the Seven Dwarfs (1937),3.8194444444,72
Snow White: A Tale of Terror (1997),2.0,1
Snowball Express (1972),4.0,1
Snowpiercer (2013),3.1666666667,6
Snowriders (1996),4.0,1
"Snows of Kilimanjaro, The (1952)",3.5,1
So Big! (1932),3.0,1
So Close (Chik Yeung Tin Sai) (2002),4.25,2
So I Married an Axe Murderer (1993),3.1896551724,58
Soapdish (1991),2.7,10
"Social Network, The (2010)",3.875,28
Solarbabies (1986),3.5,2
Solaris (2002),3.0,16
Solaris (Solyaris) (1972),3.3333333333,12
Solas (1999),3.0,1
Soldier (1998),2.6785714285999997,14
Soldier Blue (1970),3.5,1
"Soldier's Daughter Never Cries, A (1998)",3.5,3
"Soldier's Story, A (1984)",3.5,6
"Solid Gold Cadillac, The (1956)",2.0,1
Solitary Man (2009),3.5,2
Solo (1996),2.75,4
"Soloist, The (2009)",3.5,4
Solomon Kane (2009),3.0,4
Some Folks Call It a Sling Blade (1993),4.28125,16
Some Girl (1998),1.0,1
Some Girls (1988),4.0,1
Some Guy Who Kills People (2011),4.5,1
Some Kind of Wonderful (1987),3.3,10
Some Like It Hot (1959),4.0975609756,41
Some Mother's Son (1996),3.5,4
Somebody Up There Likes Me (1956),4.0,2
Someone Like You (2001),3.25,4
Someone to Watch Over Me (1987),3.5,6
Somers Town (2008),1.5,1
Something Borrowed (2011),3.5,1
Something New (2006),2.5,1
Something Wicked This Way Comes (1983),3.6,5
Something Wild (1986),3.3,5
Something the Lord Made (2004),2.5,1
Something to Talk About (1995),3.0,13
Something's Gotta Give (2003),3.7647058824,17
Sometimes a Great Notion (1970),4.0,1
Somewhere (2010),3.0,2
Somewhere in Time (1980),3.2857142857,7
Sommersby (1993),3.1875,8
Son in Law (1993),2.75,10
Son of Flubber (1963),3.0,2
Son of Frankenstein (1939),2.0,3
"Son of No One, The (2011)",2.0,1
Son of Rambow (2007),3.1666666667,3
Son of the Mask (2005),1.6666666667,3
"Son of the Sheik, The (1926)",3.0,1
"Son, The (Le fils) (2002)",3.5,3
"Son-Daughter, The (1932)",2.5,1
Sonatine (Sonachine) (1993),4.2,5
"Song Is Born, A (1948)",2.0,1
"Song of Bernadette, The (1943)",4.5,1
Song of the Exile (Ke tu qiu hen) (1990),2.5,1
Song of the Little Road (Pather Panchali) (1955),4.5,4
Song of the Sea (2014),4.0,2
Song of the South (1946),3.65,10
Song of the Thin Man (1947),4.0,1
Songcatcher (2000),3.5,2
Songs From the Second Floor (Sånger från andra våningen) (2000),4.0,1
Sons and Lovers (1960),3.0,1
Sons of Katie Elder (1965),3.0,2
Sons of the Desert (1933),4.0,1
Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005),3.875,4
Sophie's Choice (1982),4.03125,16
Sorcerer (1977),3.25,2
"Sorcerer's Apprentice, The (2010)",3.125,4
Sorority Boys (2002),2.25,2
Sorority House Massacre (1986),1.0,1
Sorority Row (2009),3.5,1
"Sorrow and the Pity, The (Le chagrin et la pitié) (1969)",3.25,2
"Sorry, Wrong Number (1948)",3.0,1
Soul Food (1997),4.0,3
Soul Man (1986),2.5,5
Soul Men (2008),3.0,2
Soul Plane (2004),3.25,2
Soul Surfer (2011),3.0,1
"Sound of Music, The (1965)",3.9655172414,58
Sound of My Voice (2011),1.5,1
"Sound of Thunder, A (2005)",2.6666666667000003,3
"Sound of the Mountain (Thunder of the Mountain, The) (Yama no oto) (1954)",3.0,1
Sounder (1972),3.8333333333,3
Source Code (2011),3.9482758621,29
South Central (1992),3.5,1
South Pacific (1958),4.125,12
"South Park: Bigger, Longer and Uncut (1999)",3.538961039,77
South Park: Imaginationland (2008),4.2272727273,11
South of the Border (2009),2.5,1
Southern Comfort (1981),3.0,1
Southland Tales (2006),1.9166666667,6
Southpaw (2015),2.0,1
Soylent Green (1973),3.5833333333,24
Space Cowboys (2000),3.0166666667,30
Space Jam (1996),2.7291666667000003,48
Space Pirate Captain Harlock (2013),3.0,1
Space Truckers (1996),3.0,1
SpaceCamp (1986),2.8,5
Spaceballs (1987),3.5094339623,53
Spaced Invaders (1990),3.1666666667,3
Spacehunter: Adventures in the Forbidden Zone (1983),3.0,1
Spanglish (2004),3.4444444444,9
"Spanish Apartment, The (L'auberge espagnole) (2002)",3.1428571429,7
Spanish Fly (1998),3.0,2
"Spanish Prisoner, The (1997)",3.6666666667000003,24
Spanking the Monkey (1994),3.8333333333,6
Sparkle (2012),1.5,1
Spartacus (1960),4.1428571429,28
Spartan (2004),3.3125,8
Spawn (1997),2.2575757576,33
Speak (2004),3.5,1
"Special Day, A (Giornata particolare, Una) (1977)",3.0,1
"Special Relationship, The (2010)",3.0,1
"Specialist, The (1994)",2.9375,48
"Specials, The (2000)",3.75,2
Species (1995),2.8951612903,62
Species II (1998),2.3846153846,13
Spectre (2015),3.4285714286,7
Speechless (1994),3.0,6
Speed (1994),3.5126903553,197
Speed 2: Cruise Control (1997),1.7741935484,31
"Speed Of Thought, The (2011)",3.5,1
Speed Racer (2008),3.0,1
Speed Zone! (a.k.a. Cannonball Run III) (1989),2.0,1
Speedy (1928),5.0,1
Spellbound (1945),4.0833333333,12
Spellbound (2002),3.9444444444,9
Spencer's Mountain (1963),4.0,1
Spetters (1980),3.0,1
Sphere (1998),3.0652173913,23
Spice World (1997),1.9666666667000001,15
Spider (2002),3.0,5
Spider-Man (2002),3.5098039216,102
Spider-Man 2 (2004),3.553030303,66
Spider-Man 3 (2007),2.8,25
"Spiderwick Chronicles, The (2008)",2.8333333333,3
Spies (Spione) (1928),4.5,1
Spies Like Us (1985),3.25,8
Spiral (2000),4.5,1
"Spiral Staircase, The (1946)",4.0,1
"Spirit of the Beehive, The (Espíritu de la colmena, El) (1973)",2.5,1
"Spirit, The (2008)",2.0,3
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.2361111111,72
"Spitfire Grill, The (1996)",3.7272727273,11
Splash (1984),3.3709677419,62
Splendor (1999),4.0,1
Splendor in the Grass (1961),4.6,5
Splice (2009),2.9285714286,7
Splinter (2008),3.25,4
"Split, The (1968)",2.5,1
Splitting Heirs (1993),2.0,1
"SpongeBob SquarePants Movie, The (2004)",3.5,1
Spotlight (2015),4.0,1
Spread (2009),2.0,1
Spriggan (Supurigan) (1998),3.8333333333,3
Spring (2015),4.0,1
Spring Breakers (2013),2.0,6
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",4.3,5
Spun (2001),3.25,4
Spy (2015),3.9,5
Spy Game (2001),3.5303030303,33
Spy Hard (1996),2.7972972973,37
Spy Kids (2001),2.5555555556,18
Spy Kids 2: The Island of Lost Dreams (2002),2.3,5
Spy Kids 3-D: Game Over (2003),2.25,6
"Spy Next Door, The (2010)",3.5,1
"Spy Who Came in from the Cold, The (1965)",3.8,5
"Spy Who Loved Me, The (1977)",3.5576923077,26
"Spy in Black, The (1939)",4.0,1
Squanto: A Warrior's Tale (1994),3.0,1
"Square, The (2008)",2.5,1
"Square, The (Al Midan) (2013)",4.0,1
"Squid and the Whale, The (2005)",3.7142857143,7
Squirm (1976),3.0,1
St. Elmo's Fire (1985),3.0,14
St. Ives (1976),3.0,1
St. Vincent (2014),3.5,2
Stage Beauty (2004),2.5,3
Stage Door (1937),3.75,2
Stage Fright (1950),3.5,2
StageFright: Aquarius (1987),1.0,1
Stagecoach (1939),3.625,4
Stake Land (2010),3.5,2
Stakeout (1987),3.2,5
Stalag 17 (1953),4.0,21
Stalingrad (1993),3.6428571429,7
Stalker (1979),3.85,10
Stand Up Guys (2012),3.625,4
Stand Up and Fight (1939),3.0,1
Stand and Deliver (1988),3.5,17
Stand by Me (1986),4.0637254902,102
Stand-In (1937),3.0,1
Stander (2003),4.25,2
Standing in the Shadows of Motown (2002),4.0,5
Stanley & Iris (1990),2.6666666667000003,3
Stanley and Livingstone (1939),3.0,1
Star 80 (1983),2.375,4
"Star Is Born, A (1937)",4.0,3
"Star Is Born, A (1954)",3.25,2
Star Kid (1997),1.0,1
"Star Maker, The (Uomo delle stelle, L') (1995)",5.0,1
Star Trek (2009),3.8333333333,51
